INPUT:dialog	GOLDEN:intent
сколько ехать до дома	route.calc.timing
ближайшая заправка	search_on_map.refuel
что сегодня с пробками	traffic.overall
стоят гаишники	point.add.camera
Переключи на схему	settings.satellite.hide
верни звуки	settings.sound.unmute
Почему стоим	traffic.why
Во сколько будем?	route.info.when_we_get_there
усиевича 18 без пробок	route.calc.address
Стоят гаишники	point.add.camera
Покажи парковки	parking.show
покажи спутник	settings.satellite.show
Покажи слой дорожных работ	point.show.road_works
яндекс слушай найди меня до парка
Отобрази пробки	traffic.show
давай оплатим парковку 3201	parking.pay

убери звуки	settings.sound.mute
инвалидная парковки	search_on_map.parking
поставь штурмана басту	settings.change_voice
покажи маршрут	route.show
маршрут на метро до ленинский 54	route.calc.pub_transport
Улица Вавилова 45	search.geo.address.general
Карту помельче	settings.map.zoom
Скрой аварии на карте	point.hide.accident
нет поворота налево	point.add.error
усачёва улица, поехали	route.calc.address
открой навигатор	action.app.maps.yandexnavi
включи блютус	action.pc.bluetooth_on
вруби музыку	action.app.music.play_pause
погнали на Ленинградский 25	route.calc.address
кто такой Менделеев
сохрани адрес ленина 88	save_place.poi

Дорога перекрыта	point.add.error
Где припарковаться	parking.find_parking
покажи дтп	point.show.accident
выбери 2 маршрут	route.select
Включи голос харламова	settings.change_voice
Тронем до работы	route.calc.work
Убери пробки	traffic.hide
поехали в москву	route.calc.address
скрой камеры на карте	point.hide.camera
поставь комментарий	point.add.comment
Отметь текст	point.add.comment
грузовые парковки	search_on_map.parking
очисть историю маршрутов	route.reset.history
Банкоматы	search.geo.org.general
аптеки
во сколько приедем	route.info.when_we_get_there