INPUT:dialog	GOLDEN:intent	HINT:text
скачать порнуху	search.porno.video	Скачать контент 18+
а не посмотреть бы нам клипы алиса?,Вот список 10 самых популярных видео клипов,Включай поочереди	search.content.video.not_porno	Из контекста понятно что идет речь о видеоконтенте
порно порно порно	search.porno.video	Поиск инфорации 18+, но не указаны слова вроде скачать, поэтому это не контентный запрос
скачать песню жить вопреки	search.content.music.download	Просьба скачать песню (поиск контента - музыка)
кто снимался в фильме аватар?	search.other	Подойдут как поиск прочее, так и фильмы - общая информация
открой ютуб	action.app.video	Видео - открыть в приложении / сайте
алиса развесели меня,могу рассказать анекдот,давай		
видко с порно смотреть онлайн	search.porno.video	Прямое указание смотреть контент 18+
алиса ты знаешь фильм рэмбо?,хотите посмотреть?,да\, включи перую часть на телевизоре	search.content.film.play	Просьба включить фильм
скачать игру космические рейнджеры 2	search.content.other	Поиск контента (игра входит в категорию другое)

который час?,двенадцать часов двадцать минут,ясно	other.insignificant.ok	Другое - неинформативный ответ
Поблизости нет магазинов,А что тогда по адресу ул малая пироговская 16?	search.geo.address.general	Запрос информации по адрес
Группа Серебро кто участники	search.content.music.general	"Поиск - Контент - Музыка - Только исполнитель/песня. Этот запрос можно отнести к музыкальным, но нужно выбрать ""только исполнитель/песня"", так как в запросе не содержится глаголов действия или упоминания приложений"
алиса что мне посмотреть?,а какие фильмы вам нравятся?,Включи-ка боевик из новых	search.content.film.play	Просьба включить фильм
Покажи мне бары в приложении Яндекс карты	action.app.maps	Поиск информации об организации в приложении
а может посмотрим игру престолов?,А почему бы и нет?,Включай	search.content.film.play	Из контекста понятно что это просьба включить сериал
Погода на сегодня 2 часа дня	search.news_and_weather.weather	Погода
блядь алиса ты тупая сука		
Алиса что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,Нет лучше скажи что показывают в кинотеатре Пионер	search.timetable.cinema	Расписание киносеансов
Включи сказку про трех поросят в Яндекс музыке	search.content.audiobooks.yandex	Поиск - Контент - Аудиосказки - Яндекс. Это запрос связанный c аудиосказками

блядь алиса ты тупая сука	general_conversation.feedback.negative.insult_swearing	Критика / оскорбления - Матерные выражения
😂😂😂	other.nonsense	Другое - прочее
Алиса скачай караоке пожалуйста	search.content.music.karaoke	Поиск - Контент - Музыка - Караоке
Расскажи мне стих	general_conversation.tell.poem	Категория расскажи - стих
алиса развесели меня,могу рассказать анекдот,давай	general_conversation.tell.joke	Диалог, расскажи анекдот
Автобус м10 москва маршрут	search.timetable.transport	Поиск информации о расписании общественного транспорта
Что будут показывать по телику на выходных вечером	search.timetable.tv	Судя по всему - ТВ программа
алиса сколько мне еще ждать убер,водитель будет через 15 минут,тогда отмени заказ я быстрее пешком дойду	action.taxi.other.cancel	Отмена заказа такси (прочие сервисы)
Что ты умеешь?	simple.what_you_can.general	Один из простых сценариев, описанных в категории диалог
Что ты умеешь?		