INPUT:input	GOLDEN:result
"{""intent"":""personal_assistant\tscenarios\talarm_reminder"",""req_id"":""1c54d389-8e55-40ba-88b2-aae9c4ac2279"",""state0"":{""time"":""2019-03-18 21:20:11"",""extra"":[{""type"":""Активные таймеры"",""content"":""Таймер на 5 минут, осталось 0 секунд. "",""playback"":""Таймер истек и сейчас звучит.""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/575080"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""answer"":""Срабатывает напоминание: Сегодня в 21:10 вы хотели идти спать.""},""action1"":{""answer"":""Срабатывает напоминание: Сегодня в 21:20 вы хотели выключай телефон и спать.""},""session_id"":""uu/45e57adac249477f6fdf80c8e615724f_1552928599_0""}"	correct
"{""intent"":""personal_assistant\thandcrafted\ti_love_you"",""req_id"":""4c4b2656-8f49-441a-9e2b-acd9b31d590e"",""state0"":{""time"":""2019-03-18 20:28:44"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/4485057 (Garbage - Queer)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""алиса ты мне нравишься"",""answer"":""Любовь — прекрасная страна.""},""action1"":{""query"":""алиса я в тебя влюбился"",""answer"":""Я знаю.""},""session_id"":""uu/b0ac2a91b2b68f1515286ae8c21bd1e1_1552924658_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tquasar\tgo_home"",""req_id"":""e87b4162-5a87-45c3-807a-375dfe38dc5f"",""state0"":{""time"":""2019-03-18 18:44:16"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/19972786"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Просматривалось видео на"",""content"":""youtube"",""playback"":""Сейчас воспроизведение поставлено на паузу на 15 минуте 43 секунде""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""назад"",""action"":""Осуществляется переход на предыдущий экран""},""action1"":{""query"":""главный экран"",""action"":""Переходит на главный экран""},""session_id"":""uu/38f5ca043f7038ba8eba715906d84dcc_1552921869_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tcreate_todo"",""req_id"":""15c20e4a-835d-4a80-9a94-ee7bf0d29e21"",""state0"":{""time"":""2019-03-18 20:10:47"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/31769020 (Slim - Феррари)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи феррари о каплю на феррари включи пожалуйста каплю на феррари"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/31769020"",""answer"":""Включаю: Slim, альбом \""IKRA\"", песня \""Феррари\"".""},""action1"":{""query"":""коплю коплю на феррари коплю коплю на феррари"",""answer"":""Добавила в список дел \""коплю коплю на феррари коплю коплю на феррари\"".""},""session_id"":""uu/253548b665e197841eb0fd7e68f262b5_1552927382_0""}"	wrong
"{""intent"":""personal_assistant\tscenarios\tcreate_todo"",""req_id"":""1e1ce0ba-0f97-4b5d-9950-c44748adbab6"",""state0"":{""time"":""2019-03-18 18:20:17"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/40695572"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""о"",""answer"":""Вы что-то хотите добавить?""},""action1"":{""query"":""все больше убеждать что с вами приятно иметь дело"",""answer"":""Добавила в список дел \""больше убеждать что\"".""},""session_id"":""uu/268ca54ab846d175abdf7505c4a91935_1552922327_0""}"	wrong
"{""intent"":""personal_assistant\tgeneral_conversation\tgeneral_conversation"",""req_id"":""b68588a1-0f8a-41fe-a702-27ac1bd912a2"",""state0"":{""time"":""2019-03-18 18:21:07"",""extra"":[{""type"":""Последний просмотренный фильм"",""content"":""\""Лего. Фильм\"" на ivi"",""playback"":""Сейчас это видео воспроизводится на 61 минуте 19 секунде""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""алиса где ты живешь"",""answer"":""В основном, я в вашем устройстве. Изредка выглядываю в интернет.""},""action1"":{""query"":""она живет"",""answer"":""Вот это поворот!""},""session_id"":""uu/05615acf80149dcdc6045b738435f670_1552924337_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tradio_play_onboarding\tnext"",""req_id"":""18e7833d-da01-4b57-9114-ed1891ad45fc"",""state0"":{""time"":""2019-03-18 21:59:13"",""extra"":[{""type"":""Последняя включенная радиостанция"",""content"":""Радио Ваня"",""playback"":""Сейчас радио включено""}],""screen"":""радио плеер""},""action0"":{""query"":""какие радиостанции у тебя есть"",""answer"":""Можно послушать Карнавал, Популярная классика или Эхо Москвы.""},""action1"":{""query"":""а еще"",""answer"":""У меня есть Relax FM, Русский Хит или Like fm.""},""session_id"":""uu/8101e9175ae7de774775281e49d3d803_1552935003_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tmusic_play"",""req_id"":""d5deb72b-dcbb-434e-9c34-e22c10d6db16"",""state0"":{""time"":""2019-03-18 07:46:53"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/34287140 (Полина Гагарина - Драмы больше нет)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи песню три танкиста"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/32716992"",""answer"":""Включаю: Николай Крючков, альбом \""День победы. 9 мая\"", песня \""Три танкиста\"".""},""action1"":{""query"":""включи песню по лицу роса я к тебе боса"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/35515789"",""answer"":""Включаю: #2Маши, альбом \""Босая\"", песня \""Босая\"".""},""session_id"":""uu/1915dd9da4f8a59b8ed49a9bb6d781b0_1552883536_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tsound_unmute"",""req_id"":""868a5c1a-13a5-49e7-bdde-9fb54be27734"",""state0"":{""time"":""2019-03-18 17:21:53"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/3421511 (Relaxation Moods - Nature Wind Sounds)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи ужасные звуки"",""action"":""Выключение беззвучного режима""},""action1"":{""query"":""включи ужасные звуки"",""action"":""Выключение беззвучного режима""},""session_id"":""uu/ac76c5bd72fdf3175aca730bd19577c3_1552911160_0""}"	wrong
"{""intent"":""personal_assistant\tscenarios\tmarket_beru"",""req_id"":""72051dea-8604-4dfd-a5c2-3656556e6deb"",""state0"":{""time"":""2019-03-18 12:39:38"",""extra"":[{""type"":""На экране"",""content"":""149 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Черная Пантера + дополнительные материалы\"" на ivi\n2. \""Первому игроку приготовиться\"" на ivi\n3. \""Мстители: Война бесконечности и дополнительные материалы\"" на ivi\n4. \""Бабушка легкого поведения 2\"" на ivi\n5. \""Атлантида\"" на ivi\n6. \""Красотка на всю голову\"" на ivi\n""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/42356993"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""галерея видео""},""action0"":{""query"":""так посмотри"",""answer"":""С телефона не могу""},""action1"":{""query"":""покажи страницу яндекса"",""answer"":""Начнём шопинг. Не забывайте — когда я увлечена покупками, о другом думать не могу. В общем, если надоест, просто скажите: «Алиса, хватит». Что вам посоветовать?""},""session_id"":""uu/5f960e73f919879404cd9d02e96fcf38_1552900175_0""}"	wrong
"{""intent"":""personal_assistant\tscenarios\tradio_play"",""req_id"":""21fc8778-f055-49f0-a703-315233e07468"",""state0"":{""time"":""2019-03-18 18:07:49"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/19482092"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последняя включенная радиостанция"",""content"":""Радио Зенит"",""playback"":""Сейчас радио включено""}],""screen"":""радио плеер""},""action0"":{""query"":""дальше"",""action"":""Включается радио \""Радио Зенит\"""",""answer"":""Секунду.""},""action1"":{""query"":""дальше"",""action"":""Включается радио \""Радио для двоих\"""",""answer"":""Секунду.""},""session_id"":""uu/6e7e7e973a3ce8f9d16e2aed22b468d8_1552914356_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tsound_quiter"",""req_id"":""e18149b3-8a1e-44cc-b99c-d83b0be11ecc"",""state0"":{""time"":""2019-03-18 21:31:05"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-19 08:00:00\n2. Будильник на 2019-03-19 07:00:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/33265901 (Корней Чуковский - Крокодил)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер"",""volume"":6},""action0"":{""query"":""сделай громче"",""action"":""Увеличивается уровень громкости""},""action1"":{""query"":""чуть тише сделай"",""action"":""Уменьшается уровень громкости""},""session_id"":""uu/f6ed19e3223c64e51c27b5405b3ad0e0_1552908386_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tremember_named_location"",""req_id"":""1eb2fb91-445b-4ecd-a859-40eb8d0957b3"",""state0"":{""time"":""2019-03-18 09:44:41"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/48821539 (Yonderboi - Before You Snap)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""вруби музыку"",""action"":""Первый трек, который включится: https://music.yandex.ru/track/48821539"",""answer"":""Включаю.""},""action1"":{""query"":""домой"",""answer"":""Окей, какой адрес у дома?""},""session_id"":""uu/63b8b618f39528c08531479f59ca9fc2_1552889763_0""}"	wrong
"{""intent"":""personal_assistant\tscenarios\timage_what_is_this_frontal"",""req_id"":""c757da0c-f7d9-4553-8d59-3fc2e3bc4bb6"",""state0"":{""time"":""2019-03-18 19:15:48"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 07:00:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/15410315 (Джинсовые мальчики - Бабайка)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""включи"",""action"":""Включается музыка после паузы (или просто продолжается воспроизведение)""},""action1"":{""query"":""включи игру"",""answer"":""Я не могу сделать фото на этом устройстве.""},""session_id"":""uu/c6783deedeb291aa8b263e4d8b04b28e_1552925378_0""}"	wrong
"{""intent"":""personal_assistant\tscenarios\tplayer_like"",""req_id"":""f89d15ff-4979-4ec7-acdc-4b39ab4feee8"",""state0"":{""time"":""2019-03-18 07:06:55"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 06:15:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/24663745 (Duke Dumont - Ocean Drive)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""громкость два"",""action"":""Устанавливается уровень громкости, равный 2""},""action1"":{""query"":""лайк"",""action"":""Трек отмечается как понравившийся"",""answer"":""Поставила лайк за вас.""},""session_id"":""uu/e484573c4aad6f3902a7579f028bffc4_1552878905_0""}"	correct
"{""intent"":""personal_assistant\tscenarios\tplayer_shuffle"",""req_id"":""de5bfc5f-991f-4857-85e8-e4a9844b01be"",""state0"":{""time"":""2019-03-18 23:52:26"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-03-18 00:35:00\n2. Будильник на 2019-03-18 01:05:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/32292839 (Acerting Art - Train Sound)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""перемешай"",""action"":""Воспроизведение происходит в случайном порядке"",""answer"":""Ок""},""action1"":{""query"":""перемешай"",""action"":""Воспроизведение происходит в случайном порядке"",""answer"":""Люблю беспорядок.""},""session_id"":""uu/55f06d83282c1e4ab47171cb7444b13e_1552924549_0""}"