1984 yılı 30 nisan hangi gün	"1984 yılı"(calendar_date) "30 nisan"(calendar_date) hangi "gün"(query_target)	which day is 30th of april of the year 1984
Almanya'da iki gün sonra günlerden ne	"Almanya'da"(where) "iki gün sonra"(calendar_date) "günlerden"(query_target) ne	what day is after two days in germany
Ayın 18'i çarşambaya  mı denk geliyor	"Ayın 18'i"(calendar_date) "çarşambaya"(check_date) mı denk "geliyor"(tense)	18th of the month is wednesday
ayın 27'si bayram mı	"ayın 27'si"(calendar_date) "bayram"(check_date) mı	is 27th of the month is bairam
azerbaycan'da 27 ağustos Pazartesi mi salı mı	"azerbaycan'da"(where) "27 ağustos"(calendar_date) "Pazartesi"(check_date) mi "salı"(check_date) mı	is 27th august Monday or Tuesday at azerbaican
bayram ayın kaçında başlıyor	"bayram"(calendar_date) "ayın kaçında"(query_target) "başlıyor"(tense)	which day of the month bairam starts
bayram hangi gün bitiyor	"bayram"(calendar_date) hangi "gün"(query_target) "bitiyor"(tense)	which day holiday ends
bugün çalışma günü mü	"bugün"(calendar_date) "çalışma günü"(check_date) mü	is today a working day
bugün Çarşamba mı	"bugün"(calendar_date) "Çarşamba"(check_date) mı	today is Wednesday
bugün Çarş mı	"bugün"(calendar_date) "Çarş"(check_date) mı	today is wed (abbreviation)
bugün ctesi mi	"bugün"(calendar_date) "ctesi"(check_date) mi	today is sday (abbreviation)
bugün Cuma mı	"bugün"(calendar_date) "Cuma"(check_date) mı	today is Friday
bugün Cumartesi mi	"bugün"(calendar_date) "Cumartesi"(check_date) mi	today is Saturday
bugün günlerden hangisi	"bugün"(calendar_date) "günlerden"(query_target) hangisi	today which day is it
bugün günlerden hangisiydi	"bugün"(calendar_date) "günlerden"(query_target) "hangisiydi"(tense)	which day was today
bugün günlerden ne biliyor musun	"bugün"(calendar_date) "günlerden"(query_target) ne biliyor musun	do you know what day is today
bugün günlerden  ne	"bugün"(calendar_date) "günlerden"(query_target) ne	what day is today
bugün günlerden neydi	"bugün"(calendar_date) "günlerden"(query_target) "neydi"(tense)	what was the day today
bugün hafta içi mi	"bugün"(calendar_date) "hafta içi"(check_date) mi	is today a weekday
bugün haftanın hangi günü	"bugün"(calendar_date) "haftanın"(query_target) hangi "günü"(query_target)	which day of the week is today
bugün hafta sonu mu	"bugün"(calendar_date) "hafta sonu"(check_date) mu	is today weekend
bugün hangi gün	"bugün"(calendar_date) hangi "gün"(query_target)	which day is today
bugün neydi salı mıydı	"bugün"(calendar_date) "neydi"(tense) "salı"(check_date) mıydı	what day was today is it Tuesday
bugün neydi unuttum	"bugün"(calendar_date) "neydi"(tense) unuttum	what was today I forgot
bugün Pazar mı	"bugün"(calendar_date) "Pazar"(check_date) mı	today is Sunday
bugün pazartesi mi	"bugün"(calendar_date) "pazartesi"(check_date) mi	today is Monday
bugün Perşembe mi	"bugün"(calendar_date) "Perşembe"(check_date) mi	today is Thursday
bugün Perş mi	"bugün"(calendar_date) "Perş"(check_date) mi	today is thursd (abbreviation)
bugün ptesi mi	"bugün"(calendar_date) "ptesi"(check_date) mi	today is mday (abbreviation)::
bugün salı mı	"bugün"(calendar_date) "salı"(check_date) mı	today is Tuesday
bugün tatil günü mü	"bugün"(calendar_date) "tatil günü"(check_date) mü	is today a holiday day
bugün tatil mi	"bugün"(calendar_date) tatil mi	is today holiday
bugünün adı ne	"bugünün"(calendar_date) "adı"(query_target) ne	what is the name of today
bugünün ismi ne	"bugünün"(calendar_date) "ismi"(query_target) ne	what is the name of today
bugünü unuttum	"bugünü"(query_target) unuttum	I forgot today
bulunduğum yerde ayın kaçı	"bulunduğum yerde"(where) "ayın kaçı"(query_target)	what is the day at where I am
doğum günüm hangi güne denk geliyor	"doğum günüm"(calendar_date) hangi "güne"(query_target) denk "geliyor"(tense)	which day is my birthday
dün ayın 16'sı mıydı 17'si miydi	"dün"(calendar_date) "ayın 16'sı"(check_date) "mıydı"(tense) "17'si"(check_date) "miydi"(tense)	yesterday was the 16th of the month or 17th
dün bulunduğum yerde bugün ayın kaçı	"dün bulunduğum yerde"(where) "bugün"(calendar_date) "ayın kaçı"(query_target)	what is the day today at where was I yesterday
dün değil ondan önceki gün Cuma mıydı	"dün değil ondan önceki gün"(calendar_date) "Cuma"(check_date) mıydı	was it friday the day before yesterday
evvelsi gün hangi gündü	"evvelsi gün"(calendar_date) hangi "gündü"(query_target) (tense)	what day was the day before yesterday
gelecek ayın 5i günlerden ne olacak	"gelecek ayın 5i"(calendar_date) "günlerden"(query_target) ne "olacak"(tense)	what day will it be 5th of next month
günlerden	"günlerden"(query_target) ne	what day is it
günlerden hangisi	"günlerden"(query_target) hangisi	which day
günlerden hangisindeyiz söylesene	"günlerden"(query_target) hangisindeyiz söylesene	tell me which day are we in
günlerden neydi	"günlerden"(query_target) "neydi"(tense)	what day was it
günleri karıştırdım hangi gündeyiz	günleri karıştırdım hangi "gündeyiz"(query_target)	I've mistaken the days which day are we in
günün adı ne	"günün"(calendar_date) "adı"(query_target) ne	what is the name of the day
günün ismi  ne	"günün"(calendar_date) "ismi"(query_target) ne	what is the name of the day
günü söylesene	"günü"(query_target) söylesene	tell me the day
haftanın hangi günündeyiz	"haftanın"(query_target) hangi "günündeyiz"(query_target)	which day of the week are we
haftanın kaçıncı günündeyiz	"haftanın"(query_target) kaçıncı "günündeyiz"(query_target)	which day of the week are we in
hafta sonu ne zaman	"hafta sonu"(query_target) ne zaman	when is weekend
hangi gün bugün	hangi "gün"(query_target) "bugün"(calendar_date)	which day is today
hangi günde olduğumuzu biliyor musun	hangi "günde"(query_target) "olduğumuzu"(tense) biliyor musun	do you know which day are we in
hangi gündeyiz	hangi "gündeyiz"(query_target)	what day are we in
hangi gündeyiz unuttum	hangi "gündeyiz"(query_target) unuttum	which day are we I forgot
hangi gün	hangi "gün"(query_target)	which day
iki yıl sonra bugün günlerden ne olacak	"iki yıl sonra"(calendar_date) "bugün"(calendar_date) "günlerden ne"(query_target) "olacak"(tense)	what day will it be today in two years
ne bugün günlerden	ne "bugün"(calender_date) "günlerden"(query_target)	what day is today
nedir bugün günlerden	nedir "bugün"(calendar_date) "günlerden"(query_target)	what day is today
ne gün bugün	ne "gün"(query_target) "bugün"(calendar_date)	what day today
ne gündeyiz	ne "gündeyiz"(query_target)	what day are we
ne gündeyiz unuttum	ne "gündeyiz"(query_target) unuttum	what day are we I forgot
önümüzdeki ayın ikinci Pazarı anneler günü mü	"önümüzdeki ayın ikinci Pazarı"(calendar_date) "anneler günü"(check_date) mü	is second Sunday of next month mother's day
şimdi burada günlerden ne	"şimdi"(calendar_date) "burada"(where) "günlerden"(query_target) ne	what day is here now
şu anda ayın kaçı	"şu anda"(calendar_date) "ayın kaçı"(query_target)	what is the date right now
yarın arife mi	"yarın"(calendar_date) "arife"(check_date) mi	is tomorrow the day before bairam
yarın bayramın birinci günü mü ikinci günü mü	"yarın"(calendar_date) "bayramın birinci günü"(check_date) mü "ikinci günü"(check_date) mü	tomorrow is the first day or bairam or second day of
yarın bayram mı	"yarın"(calendar_date) "bayram"(check_date) mı	is tomorrow bairam
yarın günlerden hangisi	"yarın"(calendar_date) "günlerden"(query_target) hangisi	which day is tomorrow
yarın günlerden ne	"yarın"(calendar_date) "günlerden"(query_target) ne	what day is tomorrow
yarın günlerden neydi	"yarın"(calendar_date) "günlerden"(query_target) "neydi"(tense)	which day was tomorrow
yarın haftanın hangi günü	"yarın"(calendar_date) "haftanın"(query_target) hangi "günü"(query_target)	which day of the week is tomorrow
yarın hangi gün	"yarın"(calendar_date) hangi "gün"(query_target)	what day is tomorrow
yarın kandil mi	"yarın"(calendar_date) "kandil"(check_date) mi	is tomorrow blessed night (special day for muslims)
