kaç kilometre	"kaç kilometre"(route_action_type)
ne kadar	"ne kadar"(route_action_type)
ne kadar kaldı	"ne kadar"(route_action_type)
kaç kilometre kaldı	"kaç kilometre"(route_action_type) kaldı
kaç kilometre var	"kaç kilometre"(route_action_type) var
kaç dakika sürüyor	"kaç dakika"(route_action_type) sürüyor
kaç dakika var	"kaç dakika"(route_action_type) var
bana kaç kilometre var	"bana"(what_to) "kaç kilometre"(route_action_type) var
yürüme mesafesi	"yürüme"(route_type) "mesafesi"(route_action_type)
kaç dakika	"kaç dakika"(route_action_type)
kaç dakika kaldı	"kaç dakika"(route_action_type) kaldı
kaç dakikada varırız	"kaç dakikada"(route_action_type) varırız
kaç dakikada gidebilirim	"kaç dakikada"(route_action_type) gidebilirim
ne kadar var daha	"ne kadar var daha"(route_action_type)
en kısa mesafe göster	"en kısa mesafe"(route_action_type) göster
kaç dakikaya gideriz	"kaç dakikaya"(route_action_type) gideriz
ne kadar yolumuz kaldı	"ne kadar"(route_action_type) yolumuz kaldı
havaalanına ne kadar kilometre kaldı	"havaalanına"(what_to) "ne kadar kilometre"(route_action_type) kaldı
kaç dakikada gidebilirim kebap	"kaç dakikada"(route_action_type) gidebilirim "kebap"(what_to)
burdan arası kaç kilometre	"burdan"(what_from) arası "kaç kilometre"(route_action_type)
buradan mesafe ne kadar	"buradan"(what_from) "mesafe ne kadar"(route_action_type)
yürüyerek kaç dakika	"yürüyerek"(route_type) "kaç dakika"(route_action_type)
varış noktasına kalan mesafe	"varış noktasına"(what_to) "kalan mesafe"(route_action_type)
mesafe	"mesafe"(route_action_type)
arası kaç kilometre	"arası kaç kilometre"(route_action_type)
ne kadar var	"ne kadar"(route_action_type) var
ne kadar uzaklıkta	"ne kadar uzaklıkta"(route_action_type)
ne kadar uzaklıkta	"ne kadar uzaklıkta"(route_action_type)
kaç saatte varıyor	"kaç saatte"(route_action_type) varıyor
ne kadar sürer	"ne kadar"(route_action_type) sürer
kaç metre kaldı	"kaç metre"(route_action_type) kaldı
kaç dakikada kaç dakika var	"kaç dakikada"(route_action_type) "kaç dakika"(route_action_type) var
burdan kaç kilometre	"burdan"(what_from) "kaç kilometre"(route_action_type)
varış süresi kaç dakika	varış süresi "kaç dakika"(route_action_type)
kaç dakika sürer	"kaç dakika"(route_action_type) sürer
en kısa mesafe	"en kısa mesafe"(route_action_type)
kaç dakikaya	"kaç dakikaya" (route_action_type)
kaç kilometredir	"kaç kilometredir"(route_action_type)
kaç saatte gideriz	"kaç saatte"(route_action_type)  gideriz
geldik mi	geldik mi
mesafesi	"mesafesi"(route_action_type)
kaç saat var	"kaç saat"(route_action_type)  var
kaç metre	"kaç metre"(route_action_type)
kaç dakikada varılır	"kaç dakikada"(route_action_type) varılır
kaç dakikada	"kaç dakikada"(route_action_type)
kaç dakika diyor	"kaç dakika"(route_action_type) diyor
saat kaç kilometre kaldı	saat "kaç kilometre"(route_action_type) kaldı
kalan mesafe	"kalan mesafe"(route_action_type)
varış noktasına ne kadar kaldı	"varış noktasına"(what_to) "ne kadar"(route_action_type) kaldı
varış noktasına ne kadar var	"varış noktasına"(what_to) "ne kadar"(route_action_type) var
yandex kaç dakika var	yandex "kaç dakika"(route_action_type) var
barış noktasına kalan mesafe	"barış noktasına"(what_to) "kalan mesafe"(route_action_type)
hedefe geldik mi	"hedefe"(what_to) geldik mi
ben bilmem kaç var	ben bilmem "kaç var"(route_action_type)
geldik mi geldik mi	geldik mi geldik mi
en yakın ne zaman gidebiliriz	en yakın "ne zaman"(route_action_type) gidebiliriz
kaç kilometre uzaklıkta	"kaç kilometre uzaklıkta"(route_action_type)
kaç metre benden uzak	"kaç metre"(route_action_type) "benden"(what_from) "uzak"(route_action_type)
ne kadar ne zaman	"ne kadar"(route_action_type) "ne zaman"(route_action_type)
ne kadar uzak	"ne kadar uzak"(route_action_type)
ne zaman bitecek	"ne zaman"(route_action_type) bitecek
ne zaman gelcekmissiniz	"ne zaman"(route_action_type) gelcekmissiniz
ne zaman gidiyoruz	"ne zaman" (route_action_type)gidiyoruz
ne zaman ne zaman	"ne zaman"(route_action_type) "ne zaman"(route_action_type)
ne zaman oradayız	"ne zaman"(route_action_type) oradayız
bulunduğum yere uzaklığı ne kadar	"bulunduğum yere"(what_from) "uzaklığı ne kadar"(route_action_type)
varış noktasına geldik mi	"varış noktasına"(route_action_type) geldik mi
varış yeni geldik mi	"varış"(route_action_type) yeni geldik mi
yer ne kadar uzaklıkta	"yer"(what_to) "ne kadar uzaklıkta"(route_action_type)
bulunduğum yerden kaç kilometre kaç dakika	"bulunduğum yerden"(what_from) "kaç kilometre"(route_action_type) "kaç dakika"(route_action_type)
bulunduğum yere ne kadar uzak yer	"bulunduğum yere"(what_from) "ne kadar uzak"(route_action_type) yer
bulunduğum yere uzaklığı ne kadar	"bulunduğum yere"(what_from) "uzaklığı ne kadar"(route_action_type)
bulunduğumuz konumdan kaç saat	"bulunduğumuz konumdan"(what_from) "kaç saat"(route_action_type)
buradan kaç kilometre	"buradan"(what_from) "kaç kilometre"(route_action_type)
buradan ne kadar	"buradan"(what_from) "ne kadar"(route_action_type)
buraya kadar kaç kilometre	"buraya kadar"(what_from) "kaç kilometre"(route_action_type)
burdan kaç dakika çekiyor	"burdan"(what_from) "kaç dakika"(route_action_type) çekiyor
burdan kaç kilometre nasıl gideriz	"burdan"(what_from) "kaç kilometre"(route_action_type) nasıl gideriz
bakalım ne kadar	bakalım "ne kadar"(route_action_type)
daha ne kadar gidicem	"daha ne kadar"(route_action_type) gidicem
daha ne kadar var	"daha ne kadar"(route_action_type) var
devam et kaç numara yazıyor devam et	devam et kaç numara yazıyor devam et
ebe ne kadar var	ebe "ne kadar"(route_action_type) var
gidiş kaç dakika	gidiş "kaç dakika"(route_action_type)
işte kaç	işte "kaç"(route_action_type)
kaç dakika sürecek	"kaç dakika"(route_action_type) sürecek
kaç dakika yolumuz var	"kaç dakika"(route_action_type) yolumuz var
kaç dakikada gidebilirim sesi	"kaç dakikada"(route_action_type) gidebilirim sesi
kaç dakikada gider	"kaç dakikada"(route_action_type) gider
kaç dakikada gideriz burda	"kaç dakikada"(route_action_type) gideriz burda
kaç dakikadır	"kaç dakikadır"(route_action_type)
kaç dakikalık yol mesafesi	"kaç dakikalık"(route_action_type) yol mesafesi
kaç dakikam kaldı	"kaç dakikam"(route_action_type) kaldı
kaç dakikaya gider	"kaç dakikaya"(route_action_type) gider
kaç dakikaya orada olurum	"kaç dakikaya"(route_action_type) orada olurum
kaç dakkası var bitmesine	"kaç dakkası"(route_action_type) var bitmesine
kaç diyorum	"kaç"(route_action_type) diyorum
kaç kaç kilometre var	"kaç"(route_action_type) "kaç kilometre"(route_action_type) var
kaç kilometre arabayla gitcez	"kaç kilometre"(route_action_type) "arabayla"(route_type) gitcez
kaç kilometre burdan	"kaç kilometre"(route_action_type) "burdan"(what_from)
kaç kilometre gideceğim yer	"kaç kilometre"(route_action_type) gideceğim yer
kaç kilometre kaç dakika	"kaç kilometre"(route_action_type) "kaç dakika"(route_action_type)
kaç kilometre kaç kilometre	"kaç kilometre"(route_action_type) "kaç kilometre"(route_action_type)
kaç kilometre uzaklıkta	"kaç kilometre uzaklıkta"(route_action_type)
kaç kilometre yola gidiyoruz	"kaç kilometre"(route_action_type) yola gidiyoruz
kaç kilometre yolumuz var	"kaç kilometre"(route_action_type) yolumuz var
kaç metre benden uzak	"kaç metre"(route_action_type) benden uzak
kaç saat olarak	"kaç saat"(route_action_type) olarak
kaç saatte	"kaç saatte"(route_action_type)
kilometre mesafe	"kilometre mesafe"(route_action_type)
lütfen konuşun diyor kaç kilometre kaldı	lütfen konuşun diyor "kaç kilometre"(route_action_type) kaldı
lütfen konuşun diyor ne konuşayım kaç kilometre var	lütfen konuşun diyor ne konuşayım "kaç kilometre"(route_action_type) var
lütfen konuşun tam olarak kaç saat	lütfen konuşun tam olarak "kaç saat"(route_action_type)
